"Order Number ","Reason"," Cancelled By ","Note ","Cancelled Date","Order Date",""
"Lvs40502","INVENTORY","Nermin ","ملغي نواقص مش عايزة بدايل","2024-12-03 18:58:08","2024-11-30T23:02:06+02:00",""
"Lvs40915","CUSTOMER_REQUEST","Fatma Elsayed","رغبة العميلة","2024-12-03 15:47:58","2024-12-02T14:13:05+02:00",""
"Lvs40801","CUSTOMER_REQUEST","Haimaa Gamal","طلب العميلة","2024-12-03 15:35:34","2024-12-01T20:34:07+02:00",""
"Lvs38518","REPEATED_ORDER","Samar Hamdy","العميله طلبت الغاء الاوردر","2024-12-03 15:09:35","2024-11-26T15:09:18+02:00",""
"Lvs39997","CUSTOMER_REQUEST","Nermin ","ملغي برغبة العميلة","2024-12-03 14:59:54","2024-11-30T11:58:18+02:00",""
"Lvs40643","BROUGHT_FROM_STORE","Nermin ","ملغي هتشتري من الفرع","2024-12-03 14:15:36","2024-12-01T01:02:24+02:00",""
"Lvs40217","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","2024-12-03 14:08:17","2024-11-30T17:18:51+02:00",""
"Lvs40427","CUSTOMER_REQUEST","Samar Hamdy","العميله طلبت الغاء الاوردر","2024-12-03 13:58:23","2024-11-30T22:00:41+02:00",""
"Lvs40745","CUSTOMER_REQUEST","Fatma Elsayed","رغبة العميلة","2024-12-03 12:50:49","2024-12-01T15:52:33+02:00",""
"Lvs39737","CUSTOMER_REQUEST","Nermin ","ملغي برغبتها لانها عاملة اوردر تاني","2024-12-03 12:35:34","2024-11-29T19:03:32+02:00",""
"Lvs40220","INVENTORY","Samar Hamdy","العميله طلبت الغاء الاوردر","2024-12-03 12:20:08","2024-11-30T17:25:44+02:00",""
"Lvs39882","BROUGHT_FROM_STORE","Nermin ","ملغي هتشتري من الفرع","2024-12-03 12:20:00","2024-11-29T23:40:18+02:00",""
"Lvs40921","OTHER","Fatma","ملغي","2024-12-03 12:12:42","2024-12-02T14:41:00+02:00",""
"Lvs40331","INVENTORY","Samar Hamdy","العميله طلبت الغاء الاوردر","2024-12-03 12:12:00","2024-11-30T20:19:55+02:00",""
"Lvs39878","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","2024-12-03 11:51:59","2024-11-29T23:34:08+02:00",""
"Lvs40474","INVENTORY","Samar Hamdy","العميله طلبت الغاء الاوردر","2024-12-03 11:51:20","2024-11-30T22:41:21+02:00",""
"Lvs40894","CUSTOMER_REQUEST","Fatma","ملغي","2024-12-03 11:07:37","2024-12-02T11:15:00+02:00",""
"Lvs40648","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","2024-12-03 10:17:55","2024-12-01T01:19:44+02:00",""
"Lvs40285","OTHER","Mostafa","0","2024-12-02 19:28:44","2024-11-30T19:28:21+02:00",""
"Lvs39702","CUSTOMER_REQUEST","Nermin ","ملغي لعدم وجود رد","2024-12-02 15:16:55","2024-11-29T17:54:58+02:00",""
"Lvs40873","CUSTOMER_REQUEST","Fatma","ملغي","2024-12-02 14:37:33","2024-12-02T05:11:33+02:00",""
"Lvs40472","CUSTOMER_REQUEST","Fatma","ملغي","2024-12-02 14:31:31","2024-11-30T22:39:13+02:00",""
"Lvs40692","CUSTOMER_REQUEST","Fatma","ملغي","2024-12-02 14:29:15","2024-12-01T10:07:19+02:00",""
"Lvs40286","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر و هتشترى من الفرع","2024-12-02 14:23:20","2024-11-30T19:30:31+02:00",""
"Lvs40585","CUSTOMER_REQUEST","Fatma","ملغي","2024-12-02 14:16:53","2024-11-30T23:54:44+02:00",""
"Lvs40782","CUSTOMER_REQUEST","Fatma","ملغي","2024-12-02 14:11:35","2024-12-01T18:42:09+02:00",""
"Lvs40678","CUSTOMER_REQUEST","Fatma","ملغي","2024-12-02 14:04:17","2024-12-01T07:11:06+02:00",""
"Lvs40507","INVENTORY","Randa","طلب العميلة بالالغاء","2024-12-02 13:48:10","2024-11-30T23:04:48+02:00",""
"Lvs40283","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","2024-12-02 13:43:14","2024-11-30T19:27:59+02:00",""
"Lvs40182","INVENTORY","Randa","طلب العميلة بالالغاء","2024-12-02 13:16:23","2024-11-30T16:37:13+02:00",""
"Lvs40520","INVENTORY","Randa","طلب العميلة بالالغاء","2024-12-02 11:47:20","2024-11-30T23:13:47+02:00",""
"Lvs40168","INVENTORY","Noor","نواقص هتشترى من الفرع","2024-12-02 11:03:35","2024-11-30T16:22:23+02:00",""
"Lvs39631","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","2024-12-02 11:00:55","2024-11-29T15:40:45+02:00",""
"Lvs38050","INVENTORY","Randa","تم عمل اوردر اخر","2024-12-02 10:47:35","2024-11-24T21:56:45+02:00",""
"Lvs39251","OTHER","Nermin ","ملغي لعدم وجود رد","2024-12-02 10:01:03","2024-11-28T20:56:47+02:00",""
"Lvs39669","INVENTORY","Randa","طلب العميلة بالالغاء","2024-12-02 09:07:01","2024-11-29T16:53:42+02:00",""
"Lvs39813","INVENTORY","Nermin ","ملغي برغبة العميلة","2024-12-02 09:05:10","2024-11-29T21:42:13+02:00",""
"Lvs39660","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","2024-12-02 09:01:40","2024-11-29T16:39:19+02:00",""
