"Order Number ","Reason"," Cancelled By ","Note"," Subtotal Price"," Shipping Cost"," Total Price ","Cancelled Date","Order Date",""
"Lvs40502","INVENTORY","Nermin ","ملغي نواقص مش عايزة بدايل","442","90","532","2024-12-03 18:58:08","2024-12-01 10:35:17",""
"Lvs40915","CUSTOMER_REQUEST","Fatma Elsayed","رغبة العميلة","525","50","575","2024-12-03 15:47:58","2024-12-03 10:41:49",""
"Lvs40801","CUSTOMER_REQUEST","Haimaa Gamal","طلب العميلة","470","50","520","2024-12-03 15:35:34","2024-12-02 10:19:05",""
"Lvs38518","REPEATED_ORDER","Samar Hamdy","العميله طلبت الغاء الاوردر","2164.8","50","2214.8","2024-12-03 15:09:35","2024-11-27 16:36:57",""
"Lvs39997","CUSTOMER_REQUEST","Nermin ","ملغي برغبة العميلة","639.2","80","719.2","2024-12-03 14:59:54","2024-11-30 12:28:49",""
"Lvs40643","BROUGHT_FROM_STORE","Nermin ","ملغي هتشتري من الفرع","348","50","398","2024-12-03 14:15:36","2024-12-01 10:35:34",""
"Lvs40217","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","468","95","563","2024-12-03 14:08:17","2024-11-30 19:31:47",""
"Lvs40427","CUSTOMER_REQUEST","Samar Hamdy","العميله طلبت الغاء الاوردر","571.2","50","621.2","2024-12-03 13:58:23","2024-11-30 22:56:26",""
"Lvs40745","CUSTOMER_REQUEST","Fatma Elsayed","رغبة العميلة","810","50","860","2024-12-03 12:50:49","2024-12-01 20:21:40",""
"Lvs39737","CUSTOMER_REQUEST","Nermin ","ملغي برغبتها لانها عاملة اوردر تاني","1126.25","60","1186.25","2024-12-03 12:35:34","2024-11-29 19:12:49",""
"Lvs40220","INVENTORY","Samar Hamdy","العميله طلبت الغاء الاوردر","2203.2","50","2253.2","2024-12-03 12:20:08","2024-11-30 19:31:47",""
"Lvs39882","BROUGHT_FROM_STORE","Nermin ","ملغي هتشتري من الفرع","810.9","60","870.9","2024-12-03 12:20:00","2024-11-30 00:12:58",""
"Lvs40921","OTHER","Fatma","ملغي","493","50","543","2024-12-03 12:12:42","2024-12-03 10:41:49",""
"Lvs40331","INVENTORY","Samar Hamdy","العميله طلبت الغاء الاوردر","200","60","260","2024-12-03 12:12:00","2024-11-30 22:56:10",""
"Lvs39878","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","357","50","407","2024-12-03 11:51:59","2024-11-30 00:12:58",""
"Lvs40474","INVENTORY","Samar Hamdy","العميله طلبت الغاء الاوردر","1494.4","50","1544.4","2024-12-03 11:51:20","2024-11-30 22:56:35",""
"Lvs40894","CUSTOMER_REQUEST","Fatma","ملغي","868","80","948","2024-12-03 11:07:37","2024-12-02 12:56:01",""
"Lvs40648","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","425","50","475","2024-12-03 10:17:55","2024-12-01 10:35:41",""
"Lvs40285","OTHER","Mostafa","0","405","50","455","2024-12-02 19:28:44","2024-11-30 19:31:54",""
"Lvs39702","CUSTOMER_REQUEST","Nermin ","ملغي لعدم وجود رد","407.2","60","467.2","2024-12-02 15:16:55","2024-11-29 19:12:46",""
"Lvs40873","CUSTOMER_REQUEST","Fatma","ملغي","590","50","640","2024-12-02 14:37:33","2024-12-02 10:19:18",""
"Lvs40472","CUSTOMER_REQUEST","Fatma","ملغي","368","50","418","2024-12-02 14:31:31","2024-11-30 22:56:35",""
"Lvs40692","CUSTOMER_REQUEST","Fatma","ملغي","468","60","528","2024-12-02 14:29:15","2024-12-01 10:35:41",""
"Lvs40286","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر و هتشترى من الفرع","1112.65","60","1172.65","2024-12-02 14:23:20","2024-11-30 19:31:54",""
"Lvs40585","CUSTOMER_REQUEST","Fatma","ملغي","1094.4","50","1144.4","2024-12-02 14:16:53","2024-12-01 10:35:26",""
