"Product Name"," Item SKU ","Variation ID"," Product Status ","Qty ","Variant","Product Image"
"Crystal Magnet Pin With Logo","1001-1","14899766559012","warehouse","1","1 / One Size / Metal","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/HV17MHtrjDQWmq2209y2hZHp1o36qLsrJlyiDBIH.png?v=1706293632"
"Classy Linen Scarf","10011030979014","14902172811556","shortage","1","Beige / Linen / 200 x 75 cm","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/6_5cdaae68-51df-4c33-aa0c-4829a13b8be1.jpg?v=1714211951"
"Classy Linen Scarf","10011030979217","14902172844324","shortage","1","Black / Linen / 200 x 75 cm","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/12_8f9ec2b0-ef68-4442-8f96-331a247c0ac6.jpg?v=1714211926"
"Arabian Black Scarf","10011001014926","14902172909860","shortage","1","200 x 70 cm / Chiffon","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/2_cac00cdb-a8ac-47b9-b24a-1968b0babf0d.jpg?v=1710921311"
"Puffy Sleeves Jacket","43090960317123","14903373103396","shortage","1","Olive / S/M","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_cc9bf2e9-dd57-4a7c-961e-77ddeabc74eb.jpg?v=1712226868"
"Silver Turkish Clips","0002-01-37","14906071056676","shortage","1","One Size / 2 / Metal","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/Ag0zOz0gSOCpNquFhYZH5CByD81382uARP71wvrr_39dddb7f-c866-46d1-b8ec-85eed4956257.jpg?v=1706293732"
"Freedom Shirt","57499454117240","14906551796004","shortage","1","Olive / L/XL","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/3_19a31aa3-963d-4d6e-84aa-3166899eb635.jpg?v=1716480349"
"Freedom Shirt","57499454112440","14906551828772","shortage","1","BoneBeige / L/XL","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/11_132194fa-3bdb-4dd2-a214-a81b205e310b.jpg?v=1716480302"
"Freedom Shirt","57499454121720","14906551861540","shortage","1","Black / S/M","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/10_517b8146-aebe-4c35-9fa5-86b57778e847.jpg?v=1716480249"
"Freedom Shirt","57499454100240","14906551894308","shortage","1","Offwhite / L/XL","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/5_0a3ed191-b386-401c-bad6-2ef21638500a.jpg?v=1716480139"
"Freedom Shirt","57499454121740","14906551927076","shortage","1","Black / L/XL","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/10_517b8146-aebe-4c35-9fa5-86b57778e847.jpg?v=1716480249"
"Freedom Shirt","57499454121720","14906572276004","shortage","1","Black / S/M","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/10_517b8146-aebe-4c35-9fa5-86b57778e847.jpg?v=1716480249"
"Matte Magnet Pin","1001-14","14906698400036","shortage","1","One Size / 6 / Metal","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/6_31aeff5a-502b-48db-99ec-b50adb345795.jpg?v=1716890625"
"Classy Linen Scarf","10011030979125","14906100842788","shortage","1","Silver","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/8_50ae1930-160d-447d-a246-e169456d8664.jpg?v=1714211930"
