"Order Number ","Product Name"," Item SKU ","Qty ","Variant","Product Image"," Price"
"Lvs50415","Crinkle Satin Chiffon Scarf","10412003809498","1","Brown","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/5_53298aa5-2b98-4ea1-b332-2d0ff6995ec2.jpg?v=1737469185",""
"Lvs50415","Glittery Crinkle Satin Chiffon Scarf","10412004629698","1","Beige","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/8_7a3b080d-3e5e-487d-a48f-dd716a705b7f.jpg?v=1737468528",""
"Lvs50415","Glittery Crinkle Satin Chiffon Scarf","10412004623198","1","SandBeige","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/8_42294d6c-23a7-4baf-9783-9fd2dbc063d2.jpg?v=1737468529",""
"Lvs50415","Glittery Crinkle Satin Chiffon Scarf","10412004621798","1","Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/3_ee5876b1-3aff-454d-b378-ebeaa740a50a.jpg?v=1737468528",""
"Lvs50415","Striped Satin Chiffon Scarf","10412006416098","1","Olive","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/8_d9bce343-8289-49a4-919d-9bec11ecc471.jpg?v=1737902996",""
"Lvs50415","Washed Linen Satin Scarf","10413090112898","1","4","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/6_70a906ed-d2bd-4f52-90fc-ddcdac0e23e8.jpg?v=1737468756",""
"Lvs50416","Ribbed Fluffy Shirt","17590151600200","1","Free Size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_ee37b1fc-f991-4cd5-82da-f649c4a35e41.jpg?v=1737468465",""
"Lvs50417","Crinkle Satin Chiffon Scarf","10412003822998","1","Mocha","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/9_95ab3c8f-ae52-4938-aaae-eaedc1850a20.jpg?v=1737469185",""
"Lvs50417","Double Sided Tape","10488686240100","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_fab517a3-2cf2-4a9e-85f3-8f62f5a50b4e.jpg?v=1737469289",""
"Lvs50417","Matte Magnet Pin","60444142411800","1","7","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/7_235400a4-19ba-4c4e-a3b1-3c8d02411fd9.jpg?v=1737469896",""
"Lvs50417","Matte Magnet Pin","60444142423200","1","9","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/9_74e5718e-ad62-4022-8bab-d2e9103c3b66.jpg?v=1737469896",""
"Lvs50417","Healthy Hair Underscarf","10022323800100","1","White","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/3_62d27292-be1e-4849-b55e-45c5c12495a6.jpg?v=1737469714",""
"Lvs50417","Healthy Hair Underscarf","10422323800200","1","OffWhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/4_ee32752b-9bf0-4dd8-a155-2ba4835dca3d.jpg?v=1737469715",""
"Lvs50417","Crinkle Satin Chiffon Scarf","10412003801498","1","LightBeige","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/4_9fc59a0e-854a-4aa1-9734-6bfa6205c12e.jpg?v=1737469185",""
"Lvs50418","Matte Magnet Pin","60444142421700","1","3","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/3_cacf5a39-72b5-44fd-a87c-672059c0d763.jpg?v=1737469895",""
"Lvs50418","Double Sided Tape","10488686240100","2","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_fab517a3-2cf2-4a9e-85f3-8f62f5a50b4e.jpg?v=1737469289",""
"Lvs50418","Easy Opened Wrap Scarf","10413098611497","1","Cafe","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_663eadc1-9f33-409e-bb27-bb36d049d89d.jpg?v=1737626660",""
"Lvs50418","Easy Opened Wrap Scarf","10413098623197","1","Almond","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/3_7bd98276-7df1-498e-9934-e4300d7a8f4b.jpg?v=1737626660",""
"Lvs50418","Easy Ready Wrap Chiffon Scarf","10412006921796","1","Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/4_a5aa501a-5c6e-4889-abc4-3db87135f9ed.jpg?v=1737468065",""
"Lvs50418","Easy Ready Wrap Leopard Scarf","10412006971996","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_351392e7-2090-4b81-97d0-24dd3e04c07a.jpg?v=1737468066",""
"Lvs50418","Easy Closed Wrap Scarf","10513094442096","1","Grey","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/6_7d7ad189-1b23-4c79-875c-7f628cdf44e8.jpg?v=1737625362",""
"Lvs50418","Easy Opened Wrap Scarf","10513098638097","1","Petrol","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/4_ef7b2422-8af3-4172-b5fd-3f8f25f0311c.jpg?v=1737626663",""
"Lvs50418","No Thread Underscarf","10422323024100","1","Bisque","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/23_2d20e9c7-38a6-4f23-8c73-2f5326ff0a64.jpg?v=1737468670",""
"Lvs50418","No Thread Underscarf","10022323012100","1","Grey","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/11_d9c6d827-9062-4947-a998-02a4d41666c5.jpg?v=1737468670",""
"Lvs50418","Patchwork Cotton Scarf","10413094971098","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_2535fa5e-01ed-452d-9d5b-101961cfb2f2.jpg?v=1737468071",""
"Lvs50371","Striped Satin Chiffon Scarf","10412006400298","1","Offwhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_8a64139a-f074-4339-bc38-3fdb77c73694.jpg?v=1737903010",""
"Lvs50371","Syrian Underscarf Close-End","10422121100200","1","Offwhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_aac62aa4-27db-4a48-b2ba-4c7ba1c0f4af.jpg?v=1737468634",""
